date;text;					
2017-11-15 02:38;"Going on board my @easyJet flight in @EdiAirport this afternoon	 with my suitable cabin luggage	 was an extremely upsetting experience. Saying that #EasyJet staff poorly managed the situation would be an understatement. They were rude and offensive. #NeverAgain pic.twitter.com/6PBfKmL9Un"			
2017-11-13 21:45;"#EASYJET #FLIGHT + #HOTEL #BEACHHOLIDAY #SALE { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fbeach-holidays%2F%3Futm_source%3Dawin_uk%26utm_medium%3DAfiliacion%26utm_campaign%3Deasterpromo%26awc%3D6296_1492012547_7625ba2b0326204c27646f8c6fa4edf4 … } with #DISCOUNTCODE #londonislovinit pic.twitter.com/YXodGRlCSg"					
2017-11-13 21:15;"First light this morning	 moon impact........no	 just missed! #easyjet #doncasterairport @PicPoet @WizardWeather @Fascinatingpics pic.twitter.com/kX2ynkhY6W"			
2017-11-13 20:41;"New #job : Information Security (GRC) Specialist Location: Luton .. http:// tinyurl.com/y7xt6lw8 #easyJet #career"					
2017-11-13 19:46;"Copenhagen here we come!!! New songs recording #easyjet #malpensa https://www. instagram.com/p/BbcOM3qBp6T/"					
2017-11-13 18:37;"Interesting views from Sophie Dekkers #Easyjet Link of business value to customer value & satisfaction was clear. pic.twitter.com/UDyiXtkYXi"					
2017-11-13 17:11;"#Luton airport UK taxi and takeoff footage #easyjet #A320 https:// youtu.be/Ji8ksSkn01E via @YouTube"					
2017-11-13 16:21;"#EasyJet under fire for paying new male boss more than female predecessor #equalpay : https://www. wearethecity.com/easyjet-fire-p aying-new-male-boss-female-predecessor/ … pic.twitter.com/opQ8MconlL"					
2017-11-13 16:08;"Over 0.6 minuut vliegt #EasyJet vlucht EZY37BE richting het noord-oosten op een hoogte van 2.1km met 475km/h over #Barendrecht ."					
2017-11-13 16:00;"#Easyjet #Flight + #Hotel 5* #Luxury #BeachDeals { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fluxury-5-star-deals … } with #DISCOUNTCODE #Londonislovinit pic.twitter.com/E5ClACBWdU"					
2017-11-13 15:42;"Tras el cese de operaciones de airberlin	 #EasyJet desafiará a #Lufthansa en Alemania vía @hosteltur http:// bit.ly/2mgEv2c"				
2017-11-13 15:16;"Johan Lundgren é o novo CEO da #easyJet - #Publituris - Publituris https://www. publituris.pt/2017/11/10/joh an-lundgren-novo-ceo-da-easyjet/ …"					
2017-11-13 15:00;"#EasyJet #7Nights #Flight + #Hotel 4* #BeachDeals from #London { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2F4-star-deals … …} #CANNES70 #LONDONislovinit pic.twitter.com/mkJKSflTty"					
2017-11-13 14:32;"https:// goo.gl/s8kLF1 - #Gratis #EasyJet regala #Biglietti ma fate attenzione alla nuova #Truffa online pic.twitter.com/5KgCWCIFIP"					
2017-11-13 13:37;"Sian Blanchard of #easyjet kicks off the exciting @CIEHF aviation #human factors conference talking about health pic.twitter.com/rYeadk9RMa"					
2017-11-13 12:26;"#EasyJet #Johan_Lundgren the #NEW_CEO . #PAW #Pakistanaviationwatch #airlines #aircrafts pic.twitter.com/YFjXJgSaBj"					
2017-11-13 11:54;"#EasyJet appoints #TUI deputy CEO #JohanLundgren as chief executive http:// ow.ly/PAl030gx5S8 #aviation #airlines"					
2017-11-13 11:54;"#EasyJet appoints #TUI deputy CEO #JohanLundgren as chief executive http:// ow.ly/PAl030gx5S8 #aviation #airlines"					
2017-11-13 11:53;"Can't board due to insufficient memory #easyjet pic.twitter.com/SumGfhhflV"					
2017-11-13 11:36;"Over 0.2 minuut vliegt #EasyJet vlucht EZY43ZN richting het noord-oosten op een hoogte van 2.1km met 461km/h over #Barendrecht ."					
